date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:08	14836/14836	------	200	untouched ('OK')	text/html	date:Sat,%2002%20Feb%202013%2013:07:01%20GMT	http://shii.org/knows/Everything_Shii_Knows	C:/My%20Web%20Sites/shii/shii.org/knows/Everything_Shii_Knows.html	(from )
23:59:08	56/56	------	200	untouched ('OK')	text/plain	etag:%2224-4ccb2c1f2c340%22	http://shii.org/robots.txt		(from )
23:59:08	945/945	------	200	untouched ('OK')	text/css	etag:%223b1-4589a9e7c5980%22	http://shii.org/mediawiki/skins/common/wikiprintable.css?207	C:/My%20Web%20Sites/shii/shii.org/mediawiki/skins/common/wikiprintable69ad.css	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	6690/6690	------	200	untouched ('OK')	text/css	etag:%221a22-465ed038bf100%22	http://shii.org/mediawiki/skins/common/shared.css?207	C:/My%20Web%20Sites/shii/shii.org/mediawiki/skins/common/shared69ad.css	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	7881/7881	------	200	untouched ('OK')	text/css	etag:%221ec9-459ec4b47e740%22	http://shii.org/mediawiki/skins/common/oldshared.css?207	C:/My%20Web%20Sites/shii/shii.org/mediawiki/skins/common/oldshared69ad.css	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	546/546	------	200	untouched ('OK')	text/css	etag:%22222-430ff566388c0%22	http://shii.org/mediawiki/skins/common/nostalgia.css?207	C:/My%20Web%20Sites/shii/shii.org/mediawiki/skins/common/nostalgia69ad.css	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	30339/30339	------	200	untouched ('')	application/javascript	etag:%227683-4637a3cea7180%22	http://shii.org/mediawiki/skins/common/wikibits.js?207	C:/My%20Web%20Sites/shii/shii.org/mediawiki/skins/common/wikibits69ad.js	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	4777/4777	------	200	untouched ('')	application/javascript	etag:%2212a9-4537f6584da00%22	http://shii.org/mediawiki/skins/common/ajax.js?207	C:/My%20Web%20Sites/shii/shii.org/mediawiki/skins/common/ajax69ad.js	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	2118/2118	------	200	untouched ('')	image/png	etag:%22846-428c2033df080%22	http://shii.org/mediawiki/skins/common/images/wiki.png	C:/My%20Web%20Sites/shii/shii.org/mediawiki/skins/common/images/wiki.png	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	10136/10136	------	200	untouched ('OK')	text/html	date:Fri,%2012%20Feb%202010%2023:54:09%20GMT	http://shii.org/knows/File:Tutnum6.jpg	C:/My%20Web%20Sites/shii/shii.org/knows/File_Tutnum6.html	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	16687/16687	------	200	untouched ('')	image/jpeg	etag:%22412f-43255a377f7c0%22	http://shii.org/mediawiki/images/1/19/Tutnum6.jpg	C:/My%20Web%20Sites/shii/shii.org/mediawiki/images/1/19/Tutnum6.jpg	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	8377/8377	------	200	untouched ('OK')	text/html	date:Fri,%2012%20Feb%202010%2023:54:09%20GMT	http://shii.org/knows/Personal_wiki	C:/My%20Web%20Sites/shii/shii.org/knows/Personal_wiki.html	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	11153/11153	------	200	untouched ('OK')	text/html	date:Fri,%2012%20Feb%202010%2023:54:09%20GMT	http://shii.org/knows/Everything_Shii_Knows:About	C:/My%20Web%20Sites/shii/shii.org/knows/Everything_Shii_Knows_About.html	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	7397/7397	------	200	untouched ('OK')	text/html	date:Fri,%2012%20Feb%202010%2023:54:09%20GMT	http://shii.org/knows/Category:Diversions	C:/My%20Web%20Sites/shii/shii.org/knows/Category_Diversions.html	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	7789/7789	------	200	untouched ('OK')	text/html	date:Fri,%2012%20Feb%202010%2023:54:09%20GMT	http://shii.org/knows/Category:Featured_articles	C:/My%20Web%20Sites/shii/shii.org/knows/Category_Featured_articles.html	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	8159/8159	------	200	untouched ('OK')	text/html	date:Fri,%2012%20Feb%202010%2023:54:09%20GMT	http://shii.org/knows/Category:Articles_that_are_better_than_Wikipedia	C:/My%20Web%20Sites/shii/shii.org/knows/Category_Articles_that_are_better_than_Wikipedia.html	(from http://shii.org/knows/Everything_Shii_Knows)
23:59:08	7637/7637	------	200	untouched ('OK')	text/html	date:Fri,%2012%20Feb%202010%2023:59:51%20GMT	http://shii.org/knows/Closing	C:/My%20Web%20Sites/shii/shii.org/knows/Closing.html	(from http://shii.org/knows/Everything_Shii_Knows)
